Address,Price,Date,Url,Lat,Lon,LSOACode,LowerLayerSuperOutputArea,ConstituencyCode
"Ashill Road, Rednal, Birmingham",165000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73946704.html,52.3930049131902,-2.00392369650545,E01009167,Birmingham 130C,E14000565
"Baldwin Street, Birmingham, Smethwick, United Kingdom, B66",170000,2019-11-02,https://www.rightmove.co.uk/property-for-sale/property-64727397.html,52.4947652528932,-1.9601881300051,E01010062,Sandwell 026C,E14001016
"Baldwin Street, Birmingham, Smethwick, United Kingdom, B66",175000,2019-09-18,https://www.rightmove.co.uk/property-for-sale/property-64727397.html,52.4947652528932,-1.9601881300051,E01010062,Sandwell 026C,E14001016
"Beauchamp Road, Billesley, Birmingham",160000,2019-10-05,https://www.rightmove.co.uk/property-for-sale/property-65551809.html,52.4209781538326,-1.86599874411332,E01008938,Birmingham 111D,E14000567
"Brandon Road, Birmingham",185000,2019-10-17,https://www.rightmove.co.uk/property-for-sale/property-74816275.html,52.441368996696,-1.85210845436134,E01009043,Birmingham 097B,E14000562
"Brandon Road, Hall Green",175000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-84419765.html,52.441368996696,-1.85210845436134,E01009043,Birmingham 097B,E14000562
"Brandwood Park Road, Kings Heath, Birmingham",180000,2019-09-10,https://www.rightmove.co.uk/property-for-sale/property-74079172.html,52.4194043083773,-1.91364419143579,E01008972,Birmingham 118A,E14000567
"Brentford Road, Birmingham, West Midlands, B14",170000,2019-10-23,https://www.rightmove.co.uk/property-for-sale/property-65916882.html,52.4209054666772,-1.88217382240312,E01008969,Birmingham 117C,E14000567
"Bromsgrove Road, Halesowen, B63",189000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64819140.html,52.4472960723396,-2.04556718324826,E01009806,Dudley 039F,E14000722
"Bromsgrove Street, Halesowen, B63",170000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-60842817.html,52.4518814213544,-2.04439476502105,E01009805,Dudley 039E,E14000722
"Brookfield Way, Tipton, DY4",190000,2019-09-27,https://www.rightmove.co.uk/property-for-sale/property-83906831.html,52.5338659705028,-2.05332315950169,E01009983,Sandwell 009B,E14001030
"Carters Lane, Halesowen",189950,2019-09-18,https://www.rightmove.co.uk/property-for-sale/property-84859598.html,52.4464049210073,-2.01496343129688,E01008921,Birmingham 094C,E14000560
"Cheslyn Grove, Warstock , Birmingham, B14",160000,2019-09-10,https://www.rightmove.co.uk/property-for-sale/property-64964958.html,52.4100225918042,-1.8773514955616,E01008942,Birmingham 117A,E14000567
"Church Street, Birmingham, B19",180000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-81200621.html,52.4988740905604,-1.91127949003019,E01033638,Birmingham 049F,E14000566
"Cirencester Close, Bromsgrove",195000,2019-11-02,https://www.rightmove.co.uk/property-for-sale/property-64399179.html,52.3324924762917,-2.045741935206,E01033059,Bromsgrove 012D,E14000605
"Cirencester Close, Bromsgrove",200000,2019-09-15,https://www.rightmove.co.uk/property-for-sale/property-64399179.html,52.3324924762917,-2.045741935206,E01033059,Bromsgrove 012D,E14000605
"Claypit Lane, West Bromwich",169950,2019-09-18,https://www.rightmove.co.uk/property-for-sale/property-72395407.html,52.5247976268597,-2.01189531915368,E01032887,Sandwell 018E,E14001029
"Cleeve Road, Birmingham, B14",190000,2019-10-25,https://www.rightmove.co.uk/property-for-sale/property-65946486.html,52.4149541676392,-1.8654288699035,E01008941,Birmingham 115C,E14000567
"Coneygree Road, Tipton, West Midlands, DY4",170000,2019-10-01,https://www.rightmove.co.uk/property-for-sale/property-65443134.html,52.5182205463703,-2.05964097970679,E01010071,Sandwell 016F,E14001030
"Constance Avenue, West Bromwich, B70",170000,2019-09-08,https://www.rightmove.co.uk/property-for-sale/property-64899435.html,52.5090651487426,-1.98654882018808,E01010102,Sandwell 020C,E14001029
"Conway Road, Birmingham, B37",160000,2019-09-21,https://www.rightmove.co.uk/property-for-sale/property-65145666.html,52.4839728122598,-1.74211400888634,E01010141,Solihull 006D,E14000812
"Corisande Road, Birmingham",180000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-63831939.html,52.4437008670685,-1.95640875305196,E01009291,Birmingham 095D,E14000567
"Curbar Road, Great Barr",160000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73206127.html,52.5333938222183,-1.90929368752718,E01009234,Birmingham 019A,E14000566
"Danzey Green Road, Birmingham, B36",190000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64620354.html,52.5084131260128,-1.78057323366291,E01010118,Solihull 001A,E14000812
"Dobbins Oak Road, Wollescote",165000,2019-10-25,https://www.rightmove.co.uk/property-for-sale/property-75003664.html,52.439064061943,-2.11896381718599,E01009832,Dudley 042A,E14000976
"Dovercourt Road, Birmingham",170000,2019-09-15,https://www.rightmove.co.uk/property-for-sale/property-71402860.html,52.4553614529149,-1.77480318167096,E01009319,Birmingham 081E,E14000568
"Dulwich Road , Great Barr",145000,2019-09-27,https://www.rightmove.co.uk/property-for-sale/property-74375941.html,52.5410998904654,-1.88082088747033,E01009134,Birmingham 011F,E14000561
"Ebrook Road, Sutton Coldfield",200000,2019-10-01,https://www.rightmove.co.uk/property-for-sale/property-85252559.html,52.5561197175506,-1.81588212162322,E01009453,Birmingham 009C,E14000985
"Effingham Road, Billesley, Birmingham, B13",170000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64492734.html,52.4278098997948,-1.86538980077681,E01008933,Birmingham 105A,E14000567
"Elmfield Road, Castle Bromwich",200000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73387807.html,52.5019809630619,-1.755414400204,E01010123,Solihull 003C,E14000812
"Fairholme Road, Hodge Hill, Birmingham, B36",175000,2019-09-18,https://www.rightmove.co.uk/property-for-sale/property-65098080.html,52.5003995854692,-1.82731015510053,E01009086,Birmingham 044B,E14000563
