Address,Price,Date,Url,Lat,Lon,LSOACode,LowerLayerSuperOutputArea,ConstituencyCode
"Thornby Road, New Oscott, Birmingham",170000,2020-01-19,https://www.rightmove.co.uk/property-for-sale/property-66482727.html,52.5412632663371,-1.86548606338742,E01009136,Birmingham 014E,E05011161
"Thornby Road, New Oscott, Birmingham",180000,2019-11-20,https://www.rightmove.co.uk/property-for-sale/property-66482727.html,52.5412632663371,-1.86548606338742,E01009136,Birmingham 014E,E05011161
"Thurlestone Road, Northfield, Birmingham, West Midlands, B31",160000,2019-11-14,https://www.rightmove.co.uk/property-for-sale/property-73708879.html,52.3906659700626,-1.98055944755363,E01009166,Birmingham 131A,E05011152
"Thurlestone Road, Northfield, Birmingham, West Midlands, B31",170000,2019-10-19,https://www.rightmove.co.uk/property-for-sale/property-73708879.html,52.3906659700626,-1.98055944755363,E01009166,Birmingham 131A,E05011152
"Thurlestone Road, Northfield, Birmingham, West Midlands, B31",180000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73708879.html,52.3906659700626,-1.98055944755363,E01009166,Birmingham 131A,E05011152
"Thurlestone Road, Northfield, Birmingham, West Midlands, B31",185000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73845130.html,52.3906659700626,-1.98055944755363,E01009166,Birmingham 131A,E05011152
"Thurloe Crescent, Birmingham, B45",195000,2020-01-19,https://www.rightmove.co.uk/property-for-sale/property-88245248.html,52.4011825123326,-2.02846988103546,E01009161,Birmingham 125F,E05011136
"Tibbats Close, Woodgate Valley",150000,2019-12-22,https://www.rightmove.co.uk/property-for-sale/property-84135929.html,52.4459563471888,-1.99730797947207,E01008931,Birmingham 094D,E05011123
"Tideswell Road, Birmingham",170000,2019-09-28,https://www.rightmove.co.uk/property-for-sale/property-84296987.html,52.535009936099,-1.9066367171157,E01009234,Birmingham 019A,E05011160
"Tideswell Road, Birmingham",180000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-84296987.html,52.535009936099,-1.9066367171157,E01009234,Birmingham 019A,E05011160
"Tintern Road, Birmingham",170000,2019-12-26,https://www.rightmove.co.uk/property-for-sale/property-60687021.html,52.5117132188109,-1.89150921118762,E01009058,Birmingham 033D,E05011121
"Tintern Road, Birmingham",175000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-60687021.html,52.5117132188109,-1.89150921118762,E01009058,Birmingham 033D,E05011121
"Toll House Road, Rednal",125000,2019-10-19,https://www.rightmove.co.uk/property-for-sale/property-74716690.html,52.3927351106305,-1.99363714010604,E01009165,Birmingham 129C,E05011164
"Topland Grove, Birmingham, B31",170000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64214301.html,52.4078386115765,-1.99980908355881,E01033633,Birmingham 125G,E05011136
